
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1978,2,1978-09-10,23-112,SEA,@,PIT,L 10-21,4,6,1.50,0,,1,5,5.00,0,2,39,19.50,0,0,0,,0
2,1978,3,1978-09-17,23-119,SEA,@,NYJ,W 24-17,0,0,,0,,0,0,,0,3,73,24.33,0,0,0,,0
3,1978,4,1978-09-24,23-126,SEA,,DET,W 28-16,1,0,0.00,0,,0,0,,0,2,57,28.50,0,2,14,7.00,0
4,1978,5,1978-10-01,23-133,SEA,@,DEN,L 7-28,3,13,4.33,0,,3,20,6.67,0,0,0,,0,2,12,6.00,0
5,1978,6,1978-10-08,23-140,SEA,,MIN,W 29-28,0,0,,0,,0,0,,0,4,118,29.50,0,4,39,9.75,0
6,1978,7,1978-10-15,23-147,SEA,@,GNB,L 28-45,0,0,,0,,0,0,,0,5,108,21.60,0,3,10,3.33,0
7,1978,8,1978-10-22,23-154,SEA,,OAK,W 27-7,0,0,,0,,0,0,,0,1,16,16.00,0,2,18,9.00,0
8,1978,9,1978-10-29,23-161,SEA,,DEN,L 17-20,0,0,,0,,0,0,,0,0,0,,0,3,10,3.33,0
9,1978,10,1978-11-05,23-168,SEA,@,CHI,W 31-29,0,0,,0,,0,0,,0,4,93,23.25,0,3,46,15.33,0
10,1978,11,1978-11-12,23-175,SEA,,BAL,L 14-17,0,0,,0,,0,0,,0,0,0,,0,2,4,2.00,0
11,1978,12,1978-11-19,23-182,SEA,@,KAN,W 13-10,0,0,,0,,0,0,,0,1,25,25.00,0,3,17,5.67,0
12,1978,13,1978-11-26,23-189,SEA,@,OAK,W 17-16,0,0,,0,,0,0,,0,3,50,16.67,0,3,26,8.67,0
13,1978,14,1978-12-03,23-196,SEA,,CLE,W 47-24,0,0,,0,,0,0,,0,3,62,20.67,0,1,17,17.00,0
14,1978,15,1978-12-10,23-203,SEA,@,SDG,L 10-37,0,0,,0,,0,0,,0,5,144,28.80,0,3,22,7.33,0
15,1978,16,1978-12-17,23-210,SEA,,KAN,W 23-19,0,0,,0,,0,0,,0,2,44,22.00,0,3,49,16.33,0
,,,15 Games,,,,,9-6-0,8,19,2.38,0,,4,25,6.25,0,35,829,23.69,0,34,284,8.35,0
