
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,26-056,CHI,@,PHI,W 35-3,4,12,3.00,0
2,1987,4,1987-10-11,26-063,CHI,,MIN,W 27-7,0,0,,0
3,1987,5,1987-10-18,26-070,CHI,,NOR,L 17-19,1,-1,-1.00,0
,,,3 Games,,,,,2-1-0,5,11,2.20,0
