
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,8,1960-11-04,31-001,BOS,,OAK,W 34-28,,1,10,10.00,0,0,0
2,1960,9,1960-11-11,31-008,BOS,,NYT,W 38-21,,1,8,8.00,0,0,0
3,1960,10,1960-11-18,31-015,BOS,,DTX,W 42-14,,3,35,11.67,2,2,12
4,1960,11,1960-11-25,31-022,BOS,,HOU,L 10-24,,5,123,24.60,1,1,6
5,1960,13,1960-12-11,31-038,BOS,@,DTX,L 0-34,,1,10,10.00,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
6,1961,7,1961-10-22,31-353,BOS,,BUF,W 52-21,,2,-2,-1.00,0,0,0
7,1961,8,1961-10-29,31-360,BOS,@,DTX,W 18-17,,4,34,8.50,1,1,6
8,1961,9,1961-11-03,32-000,BOS,,DTX,W 28-21,,1,21,21.00,0,0,0
9,1961,10,1961-11-12,32-009,BOS,@,HOU,L 15-27,,2,29,14.50,0,0,0
,,,9 Games,,,,,6-3-0,,20,268,13.40,4,4,24
