
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Pnt,Yds,Y/P,Blck
1,1960,1,1960-09-11,24-216,NYT,,BUF,W 27-3,,1,4,4.00,0,2,63,31.50,0
2,1960,2,1960-09-17,24-222,NYT,,BOS,L 24-28,,0,0,,0,6,236,39.33,0
,,,2 Games,,,,,1-1-0,,1,4,4.00,0,8,299,37.38,0
