
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1968,1,1968-09-14,23-208,MIA,,HOU,L 10-24,0,0,,0,0,0,,0,1,15,15.00,0
2,1968,10,1968-11-17,23-272,MIA,,CIN,L 21-38,0,0,,0,3,54,18.00,0,2,15,7.50,0
3,1968,11,1968-11-24,23-279,MIA,@,BOS,W 34-10,2,6,3.00,0,0,0,,0,2,10,5.00,0
4,1968,13,1968-12-08,23-293,MIA,,BOS,W 38-7,2,7,3.50,0,0,0,,0,0,0,,0
,,,4 Games,,,,,2-2-0,4,13,3.25,0,3,54,18.00,0,5,40,8.00,0
