
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1973,6,1973-10-21,22-103,ATL,@,SDG,W 41-0,2,6,3.00,0,0,0,,0
2,1973,7,1973-10-28,22-110,ATL,@,SFO,W 17-3,0,0,,0,2,41,20.50,0
3,1973,8,1973-11-04,22-117,ATL,,RAM,W 15-13,0,0,,0,2,51,25.50,0
4,1973,9,1973-11-11,22-124,ATL,@,PHI,W 44-27,2,30,15.00,0,3,58,19.33,0
5,1973,10,1973-11-19,22-132,ATL,,MIN,W 20-14,0,0,,0,2,47,23.50,0
6,1973,11,1973-11-25,22-138,ATL,@,NYJ,W 28-20,0,0,,0,2,51,25.50,0
7,1973,12,1973-12-02,22-145,ATL,,BUF,L 6-17,0,0,,0,1,22,22.00,0
8,1973,13,1973-12-09,22-152,ATL,,STL,L 10-32,0,0,,0,6,119,19.83,0
9,1973,14,1973-12-16,22-159,ATL,,NOR,W 14-10,0,0,,0,2,43,21.50,0
,,,9 Games,,,,,7-2-0,4,36,9.00,0,20,432,21.60,0
