
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1982,1,1982-09-12,23-183,NYG,,ATL,L 14-16,0,0,,0,,0,0,,0,,
2,1982,2,1982-09-20,23-191,NYG,,GNB,L 19-27,8,20,2.50,1,,0,0,,0,1,6
3,1982,3,1982-11-21,23-253,NYG,,WAS,L 17-27,11,54,4.91,1,,1,13,13.00,0,1,6
4,1982,4,1982-11-25,23-257,NYG,@,DET,W 13-6,3,6,2.00,0,,0,0,,0,0,0
5,1982,6,1982-12-11,23-273,NYG,,PHI,W 23-7,0,0,,0,,0,0,,0,,
6,1982,9,1983-01-02,23-295,NYG,@,PHI,W 26-24,0,0,,0,,0,0,,0,,
,,,6 Games,,,,,3-3-0,22,80,3.64,2,,1,13,13.00,0,2,12
