
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1972,2,1972-09-24,22-206,SDG,,DEN,W 37-14,4,15,3.75,0
2,1972,11,1972-11-26,22-269,SDG,,HOU,W 34-20,5,15,3.00,0
,,,2 Games,,,,,2-0-0,9,30,3.33,0
