
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD,Pnt,Yds,Y/P,Blck
1,1968,2,1968-09-22,22-338,CHI,@,DET,L 0-42,,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
2,1968,7,1968-10-27,23-007,CHI,,MIN,W 26-24,,0,0,,0,1,26,26.00,0,0,0,,0,0,0,,0,0,0,0,4,134,33.50,0
3,1968,11,1968-11-24,23-035,CHI,,DAL,L 3-34,,4,19,4.75,0,3,2,0.67,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD,Pnt,Yds,Y/P,Blck
4,1969,1,1969-09-21,23-336,CHI,@,GNB,L 0-17,,0,0,,0,0,0,,0,2,45,22.50,0,1,1,1.00,0,0,0,0,0,0,,0
5,1969,2,1969-09-28,23-343,CHI,@,STL,L 17-20,,0,0,,0,0,0,,0,1,26,26.00,0,1,0,0.00,0,0,0,0,0,0,,0
6,1969,5,1969-10-19,23-364,CHI,@,DET,L 7-13,,0,0,,0,0,0,,0,1,30,30.00,0,1,7,7.00,0,0,0,0,0,0,,0
7,1969,7,1969-11-02,24-013,CHI,@,MIN,L 14-31,,1,11,11.00,0,0,0,,0,3,71,23.67,0,1,11,11.00,0,0,0,0,0,0,,0
8,1969,8,1969-11-09,24-020,CHI,,PIT,W 38-7,,0,0,,0,0,0,,0,1,32,32.00,0,2,45,22.50,0,0,0,0,0,0,,0
9,1969,9,1969-11-16,24-027,CHI,@,ATL,L 31-48,,0,0,,0,0,0,,0,3,44,14.67,0,2,11,5.50,0,0,0,0,0,0,,0
10,1969,10,1969-11-23,24-034,CHI,,BAL,L 21-24,,0,0,,0,0,0,,0,0,0,,0,2,3,1.50,0,1,10,0,0,0,,0
11,1969,12,1969-12-06,24-047,CHI,@,SFO,L 21-42,,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,,0
12,1969,13,1969-12-14,24-055,CHI,,GNB,L 3-21,,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD,Pnt,Yds,Y/P,Blck
13,1970,7,1970-11-01,25-012,CHI,@,ATL,W 23-14,,0,0,,0,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0,0,0,0,,0
14,1970,8,1970-11-08,25-019,CHI,,SFO,L 16-37,,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
15,1970,9,1970-11-15,25-026,CHI,@,GNB,L 19-20,,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,,0
16,1970,11,1970-11-29,25-040,CHI,@,BAL,L 20-21,,0,0,,0,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,1,29,29.00,0
17,1970,12,1970-12-05,25-046,CHI,@,MIN,L 13-16,,0,0,,0,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0,0,0,,0
18,1970,13,1970-12-13,25-054,CHI,,GNB,W 35-17,,0,0,,0,0,0,,0,0,0,,0,2,11,5.50,0,0,0,0,0,0,,0
19,1970,14,1970-12-20,25-061,CHI,@,NOR,W 24-3,,0,0,,0,0,0,,0,0,0,,0,1,13,13.00,0,0,0,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD,Pnt,Yds,Y/P,Blck
20,1971,7,1971-10-31,26-011,CHI,,DAL,W 23-19,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,29,0,0,0,,0
21,1971,11,1971-11-29,26-040,CHI,@,MIA,L 3-34,,0,0,,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD,Pnt,Yds,Y/P,Blck
