
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1961,2,1961-09-24,25-001,CLE,,STL,W 20-17,0,0,,0,2,35,17.50,0
2,1961,3,1961-10-01,25-008,CLE,,DAL,W 25-7,1,5,5.00,0,1,33,33.00,0
3,1961,4,1961-10-08,25-015,CLE,,WAS,W 31-7,0,0,,0,1,25,25.00,0
4,1961,5,1961-10-15,25-022,CLE,,GNB,L 17-49,0,0,,0,3,77,25.67,0
5,1961,6,1961-10-22,25-029,CLE,@,PIT,W 30-28,0,0,,0,3,77,25.67,0
6,1961,7,1961-10-29,25-036,CLE,@,STL,W 21-10,0,0,,0,1,0,0.00,0
7,1961,8,1961-11-05,25-043,CLE,,PIT,L 13-17,0,0,,0,2,29,14.50,0
8,1961,9,1961-11-12,25-050,CLE,@,WAS,W 17-6,,,,,1,16,16.00,0
9,1961,10,1961-11-19,25-057,CLE,,PHI,W 45-24,0,0,,0,2,29,14.50,0
,,,9 Games,,,,,7-2-0,1,5,5.00,0,16,321,20.06,0
