
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1986,8,1986-10-26,23-204,DET,@,CHI,L 7-13,2,34,17.00,0
2,1986,9,1986-11-02,23-211,DET,,CIN,L 17-24,3,47,15.67,0
,,,2 Games,,,,,0-2-0,5,81,16.20,0
