
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1983,10,1983-11-06,23-015,GNB,,CLE,W 35-21,0,0,,0
2,1983,11,1983-11-13,23-022,GNB,@,MIN,W 29-21,0,0,,0
3,1983,12,1983-11-20,23-029,GNB,,DET,L 20-23,3,28,9.33,0
4,1983,14,1983-12-04,23-043,GNB,,CHI,W 31-28,0,0,,0
,,,4 Games,,,,,3-1-0,3,28,9.33,0
