
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1999,5,1999-10-10,24-358,TAM,@,GNB,L 23-26,,,,,,,
2,1999,11,1999-11-28,25-042,TAM,@,SEA,W 16-3,,,,,,,
3,1999,12,1999-12-06,25-050,TAM,,MIN,W 24-17,,,,,,,
4,1999,13,1999-12-12,25-056,TAM,,DET,W 23-16,1,1,3,3.00,1,1,6
5,1999,14,1999-12-19,25-063,TAM,@,OAK,L 0-45,2,1,2,2.00,0,0,0
6,1999,15,1999-12-26,25-070,TAM,,GNB,W 29-10,,,,,,,
7,1999,16,2000-01-02,25-077,TAM,@,CHI,W 20-6,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
8,2003,3,2003-09-21,28-339,CLE,@,SFO,W 13-12,,,,,,,
,,,8 Games,,,,,6-2-0,3,2,5,2.50,1,1,6
