
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1960,1,1960-09-24,25-089,PIT,@,DAL,W 35-28,3,11,3.67,0,,0,0,,0
2,1960,2,1960-10-02,25-097,PIT,@,CLE,L 20-28,4,8,2.00,0,,0,0,,0
3,1960,3,1960-10-09,25-104,PIT,,NYG,L 17-19,5,29,5.80,0,,0,0,,0
4,1960,5,1960-10-23,25-118,PIT,@,WAS,T 27-27,1,18,18.00,0,,0,0,,0
5,1960,6,1960-10-30,25-125,PIT,,GNB,L 13-19,4,33,8.25,0,,1,8,8.00,0
,,,5 Games,,,,,1-3-1,17,99,5.82,0,,1,8,8.00,0
