
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
1,1960,1,1960-09-24,25-272,DAL,,PIT,L 28-35,8,20,2.50,0,,2,17,8.50,0,0,0,,0,0,0,0,0,0
2,1960,2,1960-09-30,25-278,DAL,,PHI,L 25-27,6,26,4.33,0,,2,37,18.50,1,0,0,,0,1,6,0,0,0
3,1960,3,1960-10-09,25-287,DAL,@,WAS,L 14-26,4,16,4.00,0,,4,40,10.00,0,0,0,,0,0,0,0,0,0
4,1960,4,1960-10-16,25-294,DAL,,CLE,L 7-48,3,12,4.00,0,,1,6,6.00,0,0,0,,0,0,0,0,0,0
5,1960,5,1960-10-23,25-301,DAL,@,STL,L 10-12,2,8,4.00,0,,0,0,,0,0,0,,0,0,0,0,0,0
6,1960,6,1960-10-30,25-308,DAL,,BAL,L 7-45,3,8,2.67,0,,0,0,,0,0,0,,0,0,0,0,0,0
7,1960,10,1960-11-27,25-336,DAL,@,CHI,L 7-17,6,10,1.67,0,,1,25,25.00,0,0,0,,0,0,0,0,0,0
8,1960,11,1960-12-04,25-343,DAL,@,NYG,T 31-31,5,-3,-0.60,0,,3,15,5.00,0,1,20,20.00,0,0,0,0,0,0
9,1960,12,1960-12-11,25-350,DAL,@,DET,L 14-23,2,18,9.00,0,,0,0,,0,2,26,13.00,0,0,0,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
10,1961,7,1961-10-29,26-306,DAL,@,NYG,W 17-16,0,0,,0,,0,0,,0,1,15,15.00,0,0,0,0,0,0
11,1961,13,1961-12-10,26-348,DAL,@,STL,L 13-31,0,0,,0,,0,0,,0,1,19,19.00,0,0,0,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
12,1962,3,1962-09-23,27-270,HOU,@,SDG,W 42-17,2,-1,-0.50,0,,0,0,,0,0,0,,0,0,0,0,0,0
13,1962,6,1962-10-21,27-298,HOU,@,DEN,L 10-20,0,0,,0,,0,0,,0,0,0,,0,0,0,1,0,0
14,1962,9,1962-11-11,27-319,HOU,@,OAK,W 28-20,0,0,,0,,0,0,,0,0,0,,0,1,6,1,31,1
15,1962,14,1962-12-15,27-353,HOU,@,NYT,W 44-10,1,1,1.00,0,,0,0,,0,0,0,,0,0,0,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
16,1963,4,1963-09-28,28-275,HOU,@,BUF,W 31-20,0,0,,0,,0,0,,0,0,0,,0,0,0,1,6,0
17,1963,6,1963-10-13,28-290,HOU,@,DEN,W 33-24,1,7,7.00,0,,0,0,,0,0,0,,0,0,0,0,0,0
18,1963,10,1963-11-10,28-318,HOU,,NYJ,W 31-27,0,0,,0,,0,0,,0,0,0,,0,0,0,1,18,0
,,,18 Games,,,,,7-10-1,43,122,2.84,0,,13,140,10.77,1,5,80,16.00,0,2,12,4,55,1
