
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1963,3,1963-09-22,22-098,BUF,,KAN,T 27-27,2,7,3.50,0,,0,0,,0,0,0,,0,0,0
2,1963,4,1963-09-28,22-104,BUF,,HOU,L 20-31,19,99,5.21,0,,1,68,68.00,0,0,0,,0,0,0
3,1963,5,1963-10-05,22-111,BUF,,OAK,W 12-0,5,14,2.80,0,,0,0,,0,1,11,11.00,0,0,0
4,1963,6,1963-10-13,22-119,BUF,@,KAN,W 35-26,13,86,6.62,0,,3,80,26.67,1,0,0,,0,1,6
5,1963,7,1963-10-20,22-126,BUF,@,HOU,L 14-28,8,26,3.25,0,,0,0,,0,0,0,,0,0,0
,,,5 Games,,,,,2-2-1,47,232,4.94,0,,4,148,37.00,1,1,11,11.00,0,1,6
