
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1966,1,1966-09-11,23-268,WAS,,CLE,L 14-38,1,2,2.00,0,1,18,18.00,0
2,1966,2,1966-09-18,23-275,WAS,@,STL,L 7-23,0,0,,0,1,17,17.00,0
,,,2 Games,,,,,0-2-0,1,2,2.00,0,2,35,17.50,0
