
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1984,1,1984-09-02,22-206,CHI,,TAM,W 34-14,3,18,6.00,0,,0,0,,0,0,0,,0
2,1984,2,1984-09-09,22-213,CHI,,DEN,W 27-0,2,2,1.00,0,,0,0,,0,0,0,,0
3,1984,3,1984-09-16,22-220,CHI,@,GNB,W 9-7,0,0,,0,,0,0,,0,0,0,,0
4,1984,4,1984-09-23,22-227,CHI,@,SEA,L 9-38,0,0,,0,,0,0,,0,0,0,,0
5,1984,5,1984-09-30,22-234,CHI,,DAL,L 14-23,0,0,,0,,0,0,,0,0,0,,0
6,1984,6,1984-10-07,22-241,CHI,,NOR,W 20-7,0,0,,0,,0,0,,0,0,0,,0
7,1984,7,1984-10-14,22-248,CHI,@,STL,L 21-38,0,0,,0,,0,0,,0,0,0,,0
8,1984,8,1984-10-21,22-255,CHI,@,TAM,W 44-9,2,25,12.50,0,,0,0,,0,0,0,,0
9,1984,9,1984-10-28,22-262,CHI,,MIN,W 16-7,0,0,,0,,0,0,,0,0,0,,0
10,1984,10,1984-11-04,22-269,CHI,,RAI,W 17-6,0,0,,0,,0,0,,0,0,0,,0
11,1984,11,1984-11-11,22-276,CHI,@,RAM,L 13-29,0,0,,0,,0,0,,0,5,62,12.40,0
12,1984,12,1984-11-18,22-283,CHI,,DET,W 16-14,0,0,,0,,0,0,,0,0,0,,0
13,1984,13,1984-11-25,22-290,CHI,@,MIN,W 34-3,4,25,6.25,0,,1,6,6.00,0,0,0,,0
,,,13 Games,,,,,9-4-0,11,70,6.36,0,,1,6,6.00,0,5,62,12.40,0
