
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,1999,12,1999-12-05,24-246,DET,,WAS,W 33-17
2,1999,13,1999-12-12,24-253,DET,@,TAM,L 16-23
3,1999,15,1999-12-25,24-266,DET,,DEN,L 7-17
4,1999,16,2000-01-02,24-274,DET,@,MIN,L 17-24
,,,4 Games,,,,,1-3-0
