
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1973,9,1973-11-11,23-199,NWE,@,NYJ,L 13-33,3,3,1.00,0,,2,16,8.00,0,1,0,0.00,0
2,1973,10,1973-11-18,23-206,NWE,,GNB,W 33-24,6,17,2.83,0,,1,2,2.00,0,0,0,,0
3,1973,11,1973-11-25,23-213,NWE,@,HOU,W 32-0,1,-5,-5.00,0,,0,0,,0,0,0,,0
4,1973,13,1973-12-09,23-227,NWE,@,BUF,L 13-37,0,0,,0,,0,0,,0,1,17,17.00,0
,,,4 Games,,,,,2-2-0,10,15,1.50,0,,3,18,6.00,0,2,17,8.50,0
