
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2006,9,2006-11-12,27-230,STL,@,SEA,L 22-24,0,0,,0,0,0,0,,0,1,18,18.00,0
2,2006,10,2006-11-19,27-237,STL,@,CAR,L 0-15,0,0,,0,,0,0,,0,0,0,,0
3,2006,11,2006-11-26,27-244,STL,,SFO,W 20-17,0,0,,0,0,0,0,,0,3,58,19.33,0
4,2006,13,2006-12-11,27-259,STL,,CHI,L 27-42,0,0,,0,1,1,10,10.00,0,0,0,,0
5,2006,14,2006-12-17,27-265,STL,@,OAK,W 20-0,0,0,,0,0,0,0,,0,0,0,,0
6,2006,15,2006-12-24,27-272,STL,,WAS,W 37-31,0,0,,0,0,0,0,,0,0,0,,0
7,2006,16,2006-12-31,27-279,STL,@,MIN,W 41-21,3,9,3.00,0,0,0,0,,0,0,0,,0
,,,7 Games,,,,,4-3-0,3,9,3.00,0,1,1,10,10.00,0,4,76,19.00,0
