
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2000,1,2000-09-03,23-054,NYG,,ARI,W 21-16
2,2000,2,2000-09-10,23-061,NYG,@,PHI,W 33-18
3,2000,3,2000-09-17,23-068,NYG,@,CHI,W 14-7
4,2000,4,2000-09-24,23-075,NYG,,WAS,L 6-16
5,2000,5,2000-10-01,23-082,NYG,@,TEN,L 14-28
6,2000,6,2000-10-08,23-089,NYG,@,ATL,W 13-6
7,2000,7,2000-10-15,23-096,NYG,,DAL,W 19-14
8,2000,10,2000-11-12,23-124,NYG,,STL,L 24-38
9,2000,11,2000-11-19,23-131,NYG,,DET,L 21-31
10,2000,12,2000-11-26,23-138,NYG,@,ARI,W 31-7
11,2000,13,2000-12-03,23-145,NYG,@,WAS,W 9-7
12,2000,14,2000-12-10,23-152,NYG,,PIT,W 30-10
,,,12 Games,,,,,8-4-0
