
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
41,2007,2,2007-09-17,27-106,PHI,,WAS,L 12-20,0,0,,0,0,0,0,,0,0,0,,0,2,9,4.50,0
42,2007,3,2007-09-23,27-112,PHI,,DET,W 56-21,0,0,,0,0,0,0,,0,0,0,,0,4,41,10.25,0
43,2007,4,2007-09-30,27-119,PHI,@,NYG,L 3-16,0,0,,0,1,1,11,11.00,0,0,0,,0,3,20,6.67,0
44,2007,5,2007-10-14,27-133,PHI,@,NYJ,W 16-9,0,0,,0,0,0,0,,0,0,0,,0,1,32,32.00,0
45,2007,6,2007-10-21,27-140,PHI,,CHI,L 16-19,0,0,,0,0,0,0,,0,0,0,,0,1,6,6.00,0
46,2007,7,2007-10-28,27-147,PHI,@,MIN,W 23-16,0,0,,0,0,0,0,,0,0,0,,0,3,39,13.00,0
47,2007,8,2007-11-04,27-154,PHI,,DAL,L 17-38,0,0,,0,0,0,0,,0,0,0,,0,1,8,8.00,0
48,2007,9,2007-11-11,27-161,PHI,@,WAS,W 33-25,0,0,,0,0,0,0,,0,0,0,,0,1,0,0.00,0
49,2007,10,2007-11-18,27-168,PHI,,MIA,W 17-7,0,0,,0,0,0,0,,0,0,0,,0,4,32,8.00,0
50,2007,11,2007-11-25,27-175,PHI,@,NWE,L 28-31,0,0,,0,0,0,0,,0,0,0,,0,1,-2,-2.00,0
51,2007,12,2007-12-02,27-182,PHI,,SEA,L 24-28,0,0,,0,0,0,0,,0,1,19,19.00,0,2,6,3.00,0
52,2007,13,2007-12-09,27-189,PHI,,NYG,L 13-16,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0
53,2007,14,2007-12-16,27-196,PHI,@,DAL,W 10-6,0,0,,0,0,0,0,,0,0,0,,0,4,34,8.50,0
54,2007,15,2007-12-23,27-203,PHI,@,NOR,W 38-23,0,0,,0,0,0,0,,0,0,0,,0,2,1,0.50,0
55,2007,16,2007-12-30,27-210,PHI,,BUF,W 17-9,0,0,,0,0,0,0,,0,0,0,,0,2,23,11.50,0
,,,55 Games,,,,,33-22-0,47,196,4.17,0,45,33,230,6.97,0,35,749,21.40,0,95,851,8.96,0
