
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1972,12,1972-12-03,23-261,NWE,,MIA,L 21-37,0,0,,0,,0,0,,0,2,51,25.50,0
2,1972,13,1972-12-10,23-268,NWE,@,NOR,W 17-10,0,0,,0,,0,0,,0,1,23,23.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
3,1973,1,1973-09-16,24-183,NOR,,ATL,L 7-62,2,3,1.50,0,,0,0,,0,0,0,,0
4,1973,4,1973-10-07,24-204,NOR,,CHI,W 21-16,1,2,2.00,0,,2,19,9.50,0,0,0,,0
5,1973,5,1973-10-14,24-211,NOR,,DET,W 20-13,1,-1,-1.00,0,,0,0,,0,0,0,,0
,,,5 Games,,,,,3-2-0,4,4,1.00,0,,2,19,9.50,0,3,74,24.67,0
