
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1973,13,1973-12-09,23-035,CHI,@,DET,L 7-40,,2,11,5.50,0,0,0,,0,2,44,22.00,0
2,1973,14,1973-12-16,23-042,CHI,,GNB,L 0-21,,3,12,4.00,0,3,8,2.67,0,0,0,,0
,,,2 Games,,,,,0-2-0,,5,23,4.60,0,3,8,2.67,0,2,44,22.00,0
