
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1960,1,1960-09-09,24-071,DEN,@,BOS,W 13-10,2,7,3.50,0,,0,0,,0,0,0,,0
2,1960,2,1960-09-18,24-080,DEN,@,BUF,W 27-21,5,21,4.20,0,,0,0,,0,0,0,,0
3,1960,3,1960-09-23,24-085,DEN,@,NYT,L 24-28,1,-4,-4.00,0,,1,11,11.00,0,0,0,,0
4,1960,4,1960-10-02,24-094,DEN,,OAK,W 31-14,1,-3,-3.00,0,,0,0,,0,0,0,,0
5,1960,6,1960-10-23,24-115,DEN,,BOS,W 31-24,2,3,1.50,0,,0,0,,0,0,0,,0
6,1960,7,1960-10-30,24-122,DEN,,DTX,L 14-17,0,0,,0,,1,-3,-3.00,0,0,0,,0
7,1960,8,1960-11-06,24-129,DEN,,HOU,L 25-45,2,12,6.00,0,,0,0,,0,1,38,38.00,0
8,1960,9,1960-11-13,24-136,DEN,@,DTX,L 7-34,3,1,0.33,0,,1,3,3.00,0,0,0,,0
9,1960,10,1960-11-20,24-143,DEN,@,HOU,L 10-20,7,27,3.86,0,,0,0,,0,0,0,,0
10,1960,11,1960-11-27,24-150,DEN,,BUF,T 38-38,5,14,2.80,0,,0,0,,0,0,0,,0
11,1960,12,1960-12-04,24-157,DEN,,NYT,L 27-30,0,0,,0,,0,0,,0,2,46,23.00,0
12,1960,13,1960-12-10,24-163,DEN,@,LAC,L 33-41,0,0,,0,,0,0,,0,2,37,18.50,0
13,1960,14,1960-12-17,24-170,DEN,@,OAK,L 10-48,0,0,,0,,0,0,,0,2,32,16.00,0
,,,13 Games,,,,,4-8-1,28,78,2.79,0,,3,11,3.67,0,7,153,21.86,0
