
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1979,1,1979-09-01,24-249,TAM,,DET,W 31-16,20,121,6.05,0,,0,0,,0,0,0,,0,0,0,,,,0,0
2,1979,2,1979-09-09,24-257,TAM,@,BAL,W 29-26,19,53,2.79,0,,1,13,13.00,0,0,0,,0,0,0,,,,0,0
3,1979,3,1979-09-16,24-264,TAM,@,GNB,W 21-10,23,99,4.30,1,,1,-6,-6.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,6
4,1979,4,1979-09-23,24-271,TAM,,RAM,W 21-6,22,59,2.68,0,,1,25,25.00,0,0,0,,0,0,0,,,,0,0
5,1979,5,1979-09-30,24-278,TAM,@,CHI,W 17-13,23,120,5.22,1,,3,46,15.33,0,0,0,,0,0,0,,,,1,6
6,1979,6,1979-10-07,24-285,TAM,@,NYG,L 14-17,7,7,1.00,0,,1,11,11.00,0,0,0,,0,0,0,,,,0,0
7,1979,7,1979-10-14,24-292,TAM,,NOR,L 14-42,13,44,3.38,0,,1,15,15.00,0,0,0,,0,0,0,,,,0,0
8,1979,8,1979-10-21,24-299,TAM,,GNB,W 21-3,10,25,2.50,0,,2,47,23.50,0,0,0,,0,0,0,,,,0,0
9,1979,9,1979-10-28,24-306,TAM,@,MIN,W 12-10,19,28,1.47,0,,2,25,12.50,0,0,0,,0,0,0,,,,0,0
10,1979,10,1979-11-04,24-313,TAM,@,ATL,L 14-17,9,31,3.44,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0
11,1979,11,1979-11-11,24-320,TAM,@,DET,W 16-14,6,16,2.67,0,,3,34,11.33,0,0,0,,0,0,0,,,,0,0
12,1979,12,1979-11-18,24-327,TAM,,NYG,W 31-3,6,11,1.83,0,,0,0,,0,0,0,,0,0,0,,,,0,0
13,1979,13,1979-11-25,24-334,TAM,,MIN,L 22-23,0,0,,0,,1,-7,-7.00,0,0,0,,0,0,0,,,,0,0
14,1979,15,1979-12-09,24-348,TAM,@,SFO,L 7-23,4,11,2.75,0,,3,35,11.67,0,0,0,,0,0,0,,,,0,0
15,1979,16,1979-12-16,24-355,TAM,,KAN,W 3-0,13,65,5.00,0,,2,26,13.00,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
16,1980,1,1980-09-07,25-256,TAM,@,CIN,W 17-12,19,43,2.26,0,,1,12,12.00,0,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0
17,1980,2,1980-09-11,25-260,TAM,,RAM,W 10-9,16,60,3.75,0,,3,19,6.33,0,0,0,,0,0,0,,,,0,0
18,1980,3,1980-09-21,25-270,TAM,@,DAL,L 17-28,10,36,3.60,0,,4,69,17.25,0,0,0,,0,0,0,,,,0,0
19,1980,4,1980-09-28,25-277,TAM,,CLE,L 27-34,11,22,2.00,0,,10,101,10.10,1,0,0,,0,0,0,,,,1,6
20,1980,5,1980-10-06,25-285,TAM,@,CHI,L 0-23,10,28,2.80,0,,1,13,13.00,0,0,0,,0,0,0,,,,0,0
21,1980,6,1980-10-12,25-291,TAM,,GNB,T 14-14,8,42,5.25,0,,1,12,12.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
22,1980,7,1980-10-19,25-298,TAM,@,HOU,L 14-20,6,21,3.50,0,,4,39,9.75,0,0,0,,0,0,0,,,,0,0
23,1980,8,1980-10-26,25-305,TAM,@,SFO,W 24-23,14,79,5.64,2,,1,6,6.00,0,0,0,,0,0,0,,,,2,12
24,1980,9,1980-11-02,25-312,TAM,,NYG,W 30-13,14,54,3.86,0,,2,23,11.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
25,1980,10,1980-11-09,25-319,TAM,,PIT,L 21-24,6,6,1.00,0,,3,38,12.67,0,0,0,,0,0,0,,,,0,0
26,1980,11,1980-11-16,25-326,TAM,@,MIN,L 30-38,7,24,3.43,0,,6,59,9.83,0,0,0,,0,0,0,,,,0,0
27,1980,12,1980-11-23,25-333,TAM,,DET,L 10-24,12,27,2.25,0,,6,45,7.50,0,0,0,,0,0,0,,,,0,0
28,1980,13,1980-11-30,25-340,TAM,@,GNB,W 20-17,2,-6,-3.00,0,,1,-2,-2.00,0,0,0,,0,0,0,,,,0,0
29,1980,14,1980-12-07,25-347,TAM,,MIN,L 10-21,0,0,,0,,2,13,6.50,0,0,0,,0,0,0,,,,0,0
30,1980,16,1980-12-20,25-360,TAM,,CHI,L 13-14,14,68,4.86,0,,2,28,14.00,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
31,1981,1,1981-09-05,26-253,TAM,,MIN,W 21-13,6,36,6.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0
32,1981,2,1981-09-13,26-261,TAM,@,KAN,L 10-19,7,-5,-0.71,0,,2,45,22.50,0,0,0,,0,0,0,,,,0,0
33,1981,3,1981-09-20,26-268,TAM,@,CHI,L 17-28,23,114,4.96,0,,0,0,,0,0,0,,0,0,0,,,,0,0
34,1981,4,1981-09-27,26-275,TAM,,STL,W 20-10,13,71,5.46,1,,0,0,,0,0,0,,0,0,0,,,,1,6
35,1981,5,1981-10-04,26-282,TAM,,DET,W 28-10,16,21,1.31,0,,2,23,11.50,0,0,0,,0,0,0,,,,0,0
36,1981,6,1981-10-11,26-289,TAM,@,GNB,W 21-10,22,84,3.82,0,,0,0,,0,0,0,,0,0,0,,,,0,0
37,1981,7,1981-10-18,26-296,TAM,@,OAK,L 16-18,9,14,1.56,0,,1,7,7.00,0,0,0,,0,0,0,,,,0,0
38,1981,8,1981-10-25,26-303,TAM,@,PHI,L 10-20,13,65,5.00,0,,3,20,6.67,0,0,0,,0,0,0,,,,0,0
39,1981,9,1981-11-01,26-310,TAM,,CHI,W 20-10,21,110,5.24,0,,3,23,7.67,0,0,0,,0,0,0,,,,0,0
40,1981,10,1981-11-08,26-317,TAM,@,MIN,L 10-25,7,16,2.29,0,,3,17,5.67,0,0,0,,0,0,0,,,,0,0
41,1981,11,1981-11-15,26-324,TAM,,DEN,L 7-24,8,25,3.13,0,,1,8,8.00,0,0,0,,0,0,0,,,,0,0
42,1981,12,1981-11-22,26-331,TAM,,GNB,W 37-3,6,22,3.67,0,,0,0,,0,0,0,,0,0,0,,,,0,0
43,1981,13,1981-11-29,26-338,TAM,@,NOR,W 31-14,7,15,2.14,0,,4,36,9.00,0,0,0,,0,0,0,,,,0,0
44,1981,14,1981-12-06,26-345,TAM,,ATL,W 24-23,11,54,4.91,1,,2,19,9.50,0,0,0,,0,0,0,,,,1,6
45,1981,15,1981-12-13,26-352,TAM,,SDG,L 23-24,1,2,2.00,0,,2,12,6.00,0,0,0,,0,0,0,,,,0,0
46,1981,16,1981-12-20,26-359,TAM,@,DET,W 20-17,2,7,3.50,0,,1,3,3.00,0,0,0,,0,0,0,,,,0,0
,,,46 Games,,,,,24-21-1,515,1845,3.58,6,,93,956,10.28,1,0,5,0.00,0,0,0,39.6,0.00,0.00,7,42
