
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1960,1,1960-09-09,25-014,BOS,,DEN,L 10-13,8,29,3.63,0,,2,42,21.00,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,0,0
2,1960,2,1960-09-17,25-022,BOS,@,NYT,W 28-24,4,23,5.75,0,,2,3,1.50,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,0,0
3,1960,3,1960-09-23,25-028,BOS,,BUF,L 0-13,2,4,2.00,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,,,,,1,0.0,0,0
4,1960,4,1960-10-08,25-043,BOS,@,LAC,W 35-0,19,93,4.89,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,1,6
5,1960,5,1960-10-16,25-051,BOS,@,OAK,L 14-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1960,6,1960-10-23,25-058,BOS,@,DEN,L 24-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1960,7,1960-10-28,25-063,BOS,,LAC,L 16-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1960,8,1960-11-04,25-070,BOS,,OAK,W 34-28,1,1,1.00,0,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,0,0
9,1960,9,1960-11-11,25-077,BOS,,NYT,W 38-21,1,4,4.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,0,0
10,1960,10,1960-11-18,25-084,BOS,,DTX,W 42-14,3,46,15.33,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,1,6
11,1960,11,1960-11-25,25-091,BOS,,HOU,L 10-24,3,18,6.00,0,,2,26,13.00,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,0,0
12,1960,12,1960-12-04,25-100,BOS,@,BUF,L 14-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1960,13,1960-12-11,25-107,BOS,@,DTX,L 0-34,6,14,2.33,0,,2,8,4.00,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,0,0
14,1960,14,1960-12-18,25-114,BOS,@,HOU,L 21-37,4,6,1.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
