
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1981,7,1981-10-18,22-288,NOR,@,CLE,L 17-20,0,0,,0,,0,0,,0,0,0,,0
2,1981,8,1981-10-25,22-295,NOR,,CIN,W 17-7,0,0,,0,,0,0,,0,0,0,,0
3,1981,9,1981-11-01,22-302,NOR,,ATL,L 10-41,0,0,,0,,0,0,,0,2,36,18.00,0
4,1981,10,1981-11-08,22-309,NOR,@,RAM,W 21-13,0,0,,0,,0,0,,0,0,0,,0
5,1981,11,1981-11-15,22-316,NOR,@,MIN,L 10-20,0,0,,0,,0,0,,0,0,0,,0
6,1981,12,1981-11-22,22-323,NOR,@,HOU,W 27-24,0,0,,0,,0,0,,0,0,0,,0
7,1981,13,1981-11-29,22-330,NOR,,TAM,L 14-31,1,1,1.00,0,,0,0,,0,1,29,29.00,0
8,1981,14,1981-12-06,22-337,NOR,@,STL,L 3-30,0,0,,0,,0,0,,0,0,0,,0
9,1981,15,1981-12-13,22-344,NOR,,GNB,L 7-35,1,5,5.00,0,,1,7,7.00,0,0,0,,0
10,1981,16,1981-12-20,22-351,NOR,,SFO,L 17-21,0,0,,0,,0,0,,0,0,0,,0
,,,10 Games,,,,,3-7-0,2,6,3.00,0,,1,7,7.00,0,3,65,21.67,0
