
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1981,1,1981-09-06,23-222,NYG,,PHI,L 10-24,0,0,,0,,0,0,,0,,
2,1981,2,1981-09-13,23-229,NYG,@,WAS,W 17-7,0,0,,0,,0,0,,0,,
3,1981,3,1981-09-20,23-236,NYG,,NOR,W 20-7,0,0,,0,,0,0,,0,,
4,1981,6,1981-10-11,23-257,NYG,,STL,W 34-14,9,30,3.33,0,,1,7,7.00,0,0,0
5,1981,7,1981-10-18,23-264,NYG,@,SEA,W 32-0,2,10,5.00,0,,0,0,,0,0,0
6,1981,9,1981-11-01,23-278,NYG,,NYJ,L 7-26,1,4,4.00,0,,1,-1,-1.00,0,0,0
7,1981,10,1981-11-08,23-285,NYG,@,GNB,L 24-26,0,0,,0,,0,0,,0,,
8,1981,11,1981-11-15,23-292,NYG,,WAS,L 27-30,13,22,1.69,1,,1,19,19.00,0,1,6
9,1981,12,1981-11-22,23-299,NYG,@,PHI,W 20-10,2,2,1.00,0,,0,0,,0,0,0
10,1981,13,1981-11-29,23-306,NYG,@,SFO,L 10-17,0,0,,0,,0,0,,0,,
11,1981,14,1981-12-06,23-313,NYG,,RAM,W 10-7,0,0,,0,,0,0,,0,,
,,,11 Games,,,,,6-5-0,27,68,2.52,1,,3,25,8.33,0,1,6
