
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,2002,8,2002-11-03,24-150,MIN,@,TAM,L 24-38,,,,
2,2002,9,2002-11-10,24-157,MIN,,NYG,L 20-27,,,,
3,2002,10,2002-11-17,24-164,MIN,,GNB,W 31-21,,,,
4,2002,11,2002-11-24,24-171,MIN,@,NWE,L 17-24,,,,
5,2002,12,2002-12-01,24-178,MIN,,ATL,L 24-30,1,19,19.00,0
6,2002,13,2002-12-08,24-185,MIN,@,GNB,L 22-26,1,18,18.00,0
7,2002,14,2002-12-15,24-192,MIN,@,NOR,W 32-31,,,,
8,2002,15,2002-12-21,24-198,MIN,,MIA,W 20-17,,,,
9,2002,16,2002-12-29,24-206,MIN,@,DET,W 38-36,1,25,25.00,0
,,,9 Games,,,,,4-5-0,3,62,20.67,0
