
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1995,12,1995-11-26,22-108,NYJ,@,SEA,W 16-10,0,0,,0
2,1995,13,1995-12-03,22-115,NYJ,,STL,L 20-23,0,0,,0
3,1995,14,1995-12-10,22-122,NYJ,@,NWE,L 28-31,0,0,,0
4,1995,15,1995-12-17,22-129,NYJ,@,HOU,L 6-23,0,0,,0
5,1995,16,1995-12-24,22-136,NYJ,,NOR,L 0-12,2,5,2.50,0
,,,5 Games,,,,,1-4-0,2,5,2.50,0
