
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1990,1,1990-09-09,21-117,DAL,,SDG,W 17-14,2,2,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0
2,1990,2,1990-09-16,21-124,DAL,,NYG,L 7-28,6,11,1.83,0,,2,12,6.00,0,0,0,,0,0,0,,,,0,0
3,1990,3,1990-09-23,21-131,DAL,@,WAS,L 15-19,17,63,3.71,1,,2,12,6.00,0,0,0,,0,0,0,,,,1,6
4,1990,4,1990-09-30,21-138,DAL,@,NYG,L 17-31,12,28,2.33,1,,4,38,9.50,0,0,0,,0,0,0,,,,1,6
5,1990,5,1990-10-07,21-145,DAL,,TAM,W 14-10,23,121,5.26,1,,2,-9,-4.50,0,0,0,,0,0,0,,,,1,6
6,1990,6,1990-10-14,21-152,DAL,@,PHO,L 3-20,12,48,4.00,0,,1,8,8.00,0,0,0,,0,0,0,,,,0,0
7,1990,7,1990-10-21,21-159,DAL,@,TAM,W 17-13,16,48,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0
8,1990,8,1990-10-28,21-166,DAL,,PHI,L 20-21,14,52,3.71,1,,0,0,,0,0,0,,0,0,0,,,,1,6
9,1990,9,1990-11-04,21-173,DAL,@,NYJ,L 9-24,15,55,3.67,0,,2,3,1.50,0,0,0,,0,0,0,,,,0,0
10,1990,10,1990-11-11,21-180,DAL,,SFO,L 6-24,6,40,6.67,0,,1,-4,-4.00,0,0,0,,0,0,0,,,,0,0
11,1990,11,1990-11-18,21-187,DAL,@,RAM,W 24-21,21,54,2.57,0,,4,117,29.25,0,0,0,,0,0,0,,,,0,0
12,1990,12,1990-11-22,21-191,DAL,,WAS,W 27-17,23,132,5.74,2,,2,5,2.50,0,0,0,,0,0,0,,,,2,12
13,1990,13,1990-12-02,21-201,DAL,,NOR,W 17-13,20,85,4.25,1,,1,3,3.00,0,0,0,,0,0,0,,,,1,6
14,1990,14,1990-12-16,21-215,DAL,,PHO,W 41-10,24,103,4.29,4,,1,12,12.00,0,0,0,,0,0,0,,,,4,24
15,1990,15,1990-12-23,21-222,DAL,@,PHI,L 3-17,14,61,4.36,0,,1,26,26.00,0,0,0,,0,0,0,,,,0,0
16,1990,16,1990-12-30,21-229,DAL,@,ATL,L 7-26,16,34,2.13,0,,1,5,5.00,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
17,1991,1,1991-09-01,22-109,DAL,@,CLE,W 26-14,32,112,3.50,0,,6,36,6.00,0,0,0,,0,0,0,,,,0,0
18,1991,2,1991-09-09,22-117,DAL,,WAS,L 31-33,11,112,10.18,1,,8,42,5.25,1,0,0,,0,0,0,,,,2,12
19,1991,3,1991-09-15,22-123,DAL,,PHI,L 0-24,13,44,3.38,0,,1,12,12.00,0,0,0,,0,0,0,,,,0,0
20,1991,4,1991-09-22,22-130,DAL,@,PHO,W 17-9,23,182,7.91,2,,3,19,6.33,0,0,0,,0,0,0,,,,2,12
21,1991,5,1991-09-29,22-137,DAL,,NYG,W 21-16,18,67,3.72,1,,1,8,8.00,0,0,0,,0,0,0,,,,1,6
22,1991,6,1991-10-06,22-144,DAL,@,GNB,W 20-17,32,122,3.81,0,,7,21,3.00,0,0,0,,0,0,0,,,,0,0
23,1991,7,1991-10-13,22-151,DAL,,CIN,W 35-23,19,62,3.26,1,,3,18,6.00,0,0,0,,0,0,0,,,,1,6
24,1991,8,1991-10-27,22-165,DAL,@,DET,L 10-34,16,66,4.13,0,,3,4,1.33,0,0,0,,0,0,0,,,,0,0
25,1991,9,1991-11-03,22-172,DAL,,PHO,W 27-7,22,62,2.82,3,,3,12,4.00,0,0,0,,0,0,0,,,,3,18
26,1991,10,1991-11-10,22-179,DAL,@,HOU,L 23-26,12,49,4.08,0,,5,29,5.80,0,0,0,,0,0,0,,,,0,0
27,1991,11,1991-11-17,22-186,DAL,@,NYG,L 9-22,17,97,5.71,0,,3,16,5.33,0,0,0,,0,0,0,,,,0,0
28,1991,12,1991-11-24,22-193,DAL,@,WAS,W 24-21,34,132,3.88,1,,0,0,,0,0,0,,0,0,0,,,,1,6
29,1991,13,1991-11-28,22-197,DAL,,PIT,W 20-10,32,109,3.41,1,,3,19,6.33,0,0,0,,0,0,0,,,,1,6
30,1991,14,1991-12-08,22-207,DAL,,NOR,W 23-14,27,112,4.15,0,,2,9,4.50,0,0,0,,0,0,0,,,,0,0
31,1991,15,1991-12-15,22-214,DAL,@,PHI,W 25-13,25,75,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0
32,1991,16,1991-12-22,22-221,DAL,,ATL,W 31-27,32,160,5.00,2,,1,13,13.00,0,0,0,,0,0,0,,,,2,12
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
