
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2000,7,2000-10-15,24-353,CHI,,MIN,L 16-28,1,,,,
2,2000,8,2000-10-22,24-360,CHI,@,PHI,L 9-13,,,,,
3,2000,10,2000-11-12,25-015,CHI,@,BUF,L 3-20,1,1,4,4.00,0
4,2000,11,2000-11-19,25-022,CHI,,TAM,W 13-10,,,,,
5,2000,12,2000-11-26,25-029,CHI,@,NYJ,L 10-17,,,,,
6,2000,13,2000-12-03,25-036,CHI,,GNB,L 6-28,,,,,
7,2000,14,2000-12-10,25-043,CHI,,NWE,W 24-17,2,2,14,7.00,0
8,2000,15,2000-12-17,25-050,CHI,@,SFO,L 0-17,1,,,,
9,2000,16,2000-12-24,25-057,CHI,@,DET,W 23-20,1,1,10,10.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
10,2001,1,2001-09-09,25-316,CHI,@,BAL,L 6-17,,,,,
11,2001,2,2001-09-23,25-330,CHI,,MIN,W 17-10,,,,,
12,2001,3,2001-10-07,25-344,CHI,@,ATL,W 31-3,,,,,
13,2001,4,2001-10-14,25-351,CHI,,ARI,W 20-13,0,,,,
14,2001,5,2001-10-21,25-358,CHI,@,CIN,W 24-0,,,,,
15,2001,6,2001-10-28,26-000,CHI,,SFO,W 37-31,,,,,
,,,15 Games,,,,,8-7-0,6,4,28,7.00,0
