
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1995,2,1995-09-10,25-276,MIN,,DET,W 20-10,0,0,,0,2,37,18.50,0
2,1995,3,1995-09-17,25-283,MIN,,DAL,L 17-23,0,0,,0,0,0,,0
3,1995,4,1995-09-24,25-290,MIN,@,PIT,W 44-24,5,12,2.40,0,1,23,23.00,0
4,1995,5,1995-10-08,25-304,MIN,,HOU,W 23-17,0,0,,0,0,0,,0
5,1995,11,1995-11-19,25-346,MIN,,NOR,W 43-24,2,4,2.00,0,0,0,,0
6,1995,12,1995-11-23,25-350,MIN,@,DET,L 38-44,0,0,,0,0,0,,0
7,1995,13,1995-12-03,25-360,MIN,,TAM,W 31-17,1,0,0.00,0,0,0,,0
8,1995,14,1995-12-09,26-001,MIN,,CLE,W 27-11,6,10,1.67,0,1,0,0.00,0
,,,8 Games,,,,,6-2-0,14,26,1.86,0,4,60,15.00,0
