
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
31,1994,15,1994-12-17,23-301,DEN,@,SFO,L 19-42,5,19,3.80,1,8,5,19,3.80,0,5,123,24.60,0,0,0,,0,1,6
32,1994,16,1994-12-24,23-308,DEN,,NOR,L 28-30,6,26,4.33,0,6,4,18,4.50,0,5,108,21.60,0,4,27,6.75,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
33,1995,1,1995-09-03,24-196,DEN,,BUF,W 22-7,0,0,,0,0,0,0,,0,0,0,,0,2,34,17.00,0,0,0
34,1995,2,1995-09-10,24-203,DEN,@,DAL,L 21-31,1,-1,-1.00,0,2,0,0,,0,5,134,26.80,0,1,6,6.00,0,0,0
35,1995,3,1995-09-17,24-210,DEN,,WAS,W 38-31,1,5,5.00,0,7,4,20,5.00,0,5,111,22.20,0,0,0,,0,0,0
36,1995,4,1995-09-24,24-217,DEN,@,SDG,L 6-17,1,11,11.00,0,3,2,15,7.50,0,3,57,19.00,0,2,21,10.50,0,0,0
37,1995,5,1995-10-01,24-224,DEN,@,SEA,L 10-27,0,0,,0,0,0,0,,0,2,54,27.00,0,2,23,11.50,0,0,0
38,1995,6,1995-10-08,24-231,DEN,@,NWE,W 37-3,2,4,2.00,0,2,1,18,18.00,0,1,34,34.00,0,2,12,6.00,0,0,0
39,1995,7,1995-10-16,24-239,DEN,,OAK,W 27-0,4,21,5.25,0,0,0,0,,0,0,0,,0,4,17,4.25,0,0,0
