
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1973,1,1973-09-16,24-354,STL,@,PHI,W 34-23,3,6,2.00,0,3,59,19.67,0,0,0
2,1973,2,1973-09-23,24-361,STL,,WAS,W 34-27,5,8,1.60,0,0,0,,0,0,0
3,1973,4,1973-10-07,25-010,STL,,OAK,L 10-17,6,27,4.50,0,0,0,,0,0,0
4,1973,5,1973-10-14,25-017,STL,,PHI,L 24-27,0,0,,0,1,19,19.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
5,1974,4,1974-10-06,26-009,STL,@,SFO,W 34-9,4,13,3.25,0,0,0,,0,0,0
6,1974,5,1974-10-13,26-016,STL,,DAL,W 31-28,0,0,,0,1,16,16.00,0,0,0
7,1974,7,1974-10-27,26-030,STL,,WAS,W 23-20,0,0,,0,1,19,19.00,0,0,0
8,1974,8,1974-11-03,26-037,STL,@,DAL,L 14-17,0,0,,0,1,21,21.00,0,0,0
9,1974,9,1974-11-11,26-045,STL,,MIN,L 24-28,0,0,,0,1,12,12.00,0,0,0
10,1974,11,1974-11-24,26-058,STL,@,NYG,W 23-21,0,0,,0,1,16,16.00,0,0,0
11,1974,13,1974-12-08,26-072,STL,@,NOR,L 0-14,0,0,,0,3,49,16.33,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
12,1975,5,1975-10-19,27-022,STL,,PHI,W 31-20,4,12,3.00,1,0,0,,0,1,6
13,1975,6,1975-10-25,27-028,STL,@,NYG,W 20-13,0,0,,0,1,21,21.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
14,1977,10,1977-11-21,29-055,WAS,,GNB,W 10-9,0,0,,0,1,14,14.00,0,0,0
15,1977,13,1977-12-10,29-074,WAS,@,STL,W 26-20,0,0,,0,1,21,21.00,0,0,0
,,,15 Games,,,,,10-5-0,22,66,3.00,1,15,267,17.80,0,1,6
