
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1999,6,1999-10-24,23-140,NOR,@,NYG,L 3-31,1,1,1.00,0
2,1999,7,1999-10-31,23-147,NOR,,CLE,L 16-21,,,,
3,1999,8,1999-11-07,23-154,NOR,,TAM,L 16-31,,,,
4,1999,9,1999-11-14,23-161,NOR,,SFO,W 24-6,,,,
5,1999,11,1999-11-28,23-175,NOR,@,STL,L 12-43,,,,
6,1999,12,1999-12-05,23-182,NOR,@,ATL,L 12-35,,,,
7,1999,13,1999-12-12,23-189,NOR,,STL,L 14-30,,,,
8,1999,14,1999-12-19,23-196,NOR,@,BAL,L 8-31,,,,
9,1999,15,1999-12-24,23-201,NOR,,DAL,W 31-24,,,,
,,,9 Games,,,,,2-7-0,1,1,1.00,0
