
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,1999,6,1999-10-24,26-020,MIA,,PHI,W 16-13
2,1999,10,1999-11-21,26-048,MIA,,NWE,W 27-17
,,,2 Games,,,,,2-0-0
