
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1987,4,1987-10-11,25-276,TAM,,SDG,L 13-17,1,2,2.00,0
2,1987,5,1987-10-18,25-283,TAM,,MIN,W 20-10,0,0,,0
,,,2 Games,,,,,1-1-0,1,2,2.00,0
