
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2005,7,2005-10-23,23-192,TEN,@,ARI,L 10-20,0,0,,0,0,0,0,,0
2,2005,14,2005-12-18,23-248,TEN,,SEA,L 24-28,0,0,,0,,0,0,,0
3,2005,16,2006-01-01,23-262,TEN,@,JAX,L 13-40,6,32,5.33,0,3,3,14,4.67,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
4,2006,9,2006-11-12,24-212,DEN,@,OAK,W 17-13,4,14,3.50,0,0,0,0,,0
5,2006,10,2006-11-19,24-219,DEN,,SDG,L 27-35,10,52,5.20,0,5,3,36,12.00,0
6,2006,11,2006-11-23,24-223,DEN,@,KAN,L 10-19,4,0,0.00,0,2,1,5,5.00,0
,,,6 Games,,,,,1-5-0,24,98,4.08,0,10,7,55,7.86,0
