
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1961,1,1961-09-09,23-072,OAK,@,HOU,L 0-55,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,17,17.00,0,0,0,,0,,,,,2,0.0,0,0
2,1961,2,1961-09-17,23-080,OAK,@,SDG,L 0-44,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
3,1961,3,1961-09-24,23-087,OAK,,DTX,L 35-42,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,4,105,26.25,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
4,1961,4,1961-10-01,23-094,OAK,,DEN,W 33-19,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,26,26.00,0,0,0,,0,4,4,100.0,1,3,33.3,0,7
5,1961,5,1961-10-15,23-108,OAK,@,DEN,L 24-27,2,15,7.50,1,,1,-2,-2.00,0,0,0,,0,0,0,,,,3,59,19.67,0,0,0,,0,3,3,100.0,1,3,33.3,1,12
6,1961,6,1961-10-22,23-115,OAK,,SDG,L 10-41,3,15,5.00,0,,0,0,,0,0,0,,0,0,0,,,,2,38,19.00,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
7,1961,7,1961-10-29,23-122,OAK,,NYT,L 6-14,9,43,4.78,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,2,3,66.7,0,6
8,1961,8,1961-11-05,23-129,OAK,@,BUF,W 31-22,1,0,0.00,0,,0,0,,0,0,0,,0,0,0,,,,1,25,25.00,0,0,0,,0,4,4,100.0,1,2,50.0,0,7
9,1961,9,1961-11-11,23-135,OAK,@,NYT,L 12-23,2,3,1.50,0,,1,0,0.00,0,0,0,,0,0,0,,,,3,72,24.00,0,0,0,,0,,1,0.0,,1,0.0,0,0
10,1961,10,1961-11-17,23-141,OAK,@,BOS,L 17-20,0,0,,0,,1,22,22.00,0,0,0,,0,0,0,,,,3,53,17.67,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
11,1961,11,1961-11-26,23-150,OAK,@,DTX,L 11-43,4,16,4.00,0,,4,13,3.25,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,4,62,15.50,0,0,0,,0,,,,1,4,25.0,0,3
12,1961,12,1961-12-03,23-157,OAK,,BUF,L 21-26,7,19,2.71,0,,0,0,,0,0,0,,0,0,0,,,,4,81,20.25,0,2,22,11.00,0,3,3,100.0,,2,0.0,0,3
13,1961,13,1961-12-09,23-163,OAK,,BOS,L 21-35,3,1,0.33,0,,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,1,2,2.00,0,3,3,100.0,,,,0,3
14,1961,14,1961-12-17,23-171,OAK,,HOU,L 16-47,0,0,,0,,1,9,9.00,0,0,0,,0,0,0,,,,3,50,16.67,0,0,0,,0,1,1,100.0,1,1,100.0,0,4
,,,14 Games,,,,,2-12-0,31,112,3.61,1,,10,49,4.90,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,29,588,20.28,0,3,24,8.00,0,24,25,96.0,11,28,39.3,1,63
