
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1984,1,1984-09-02,24-023,PIT,,KAN,L 27-37,0,0,,0,0,0,,0
2,1984,2,1984-09-06,24-027,PIT,@,NYJ,W 23-17,0,0,,0,0,0,,0
3,1984,3,1984-09-16,24-037,PIT,,RAM,W 24-14,5,14,2.80,0,0,0,,0
4,1984,4,1984-09-23,24-044,PIT,@,CLE,L 10-20,0,0,,0,0,0,,0
5,1984,5,1984-10-01,24-052,PIT,,CIN,W 38-17,2,5,2.50,0,0,0,,0
6,1984,6,1984-10-07,24-058,PIT,,MIA,L 7-31,0,0,,0,0,0,,0
7,1984,7,1984-10-14,24-065,PIT,@,SFO,W 20-17,0,0,,0,0,0,,0
8,1984,8,1984-10-21,24-072,PIT,@,IND,L 16-17,0,0,,0,0,0,,0
9,1984,9,1984-10-28,24-079,PIT,,ATL,W 35-10,2,10,5.00,0,0,0,,0
10,1984,10,1984-11-04,24-086,PIT,,HOU,W 35-7,7,47,6.71,0,0,0,,0
11,1984,11,1984-11-11,24-093,PIT,@,CIN,L 20-22,2,13,6.50,0,0,0,,0
12,1984,12,1984-11-19,24-101,PIT,@,NOR,L 24-27,0,0,,0,0,0,,0
13,1984,13,1984-11-25,24-107,PIT,,SDG,W 52-24,0,0,,0,1,15,15.00,0
14,1984,16,1984-12-16,24-128,PIT,@,RAI,W 13-7,0,0,,0,0,0,,0
,,,14 Games,,,,,8-6-0,18,89,4.94,0,1,15,15.00,0
