
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,24-351,DET,,TAM,L 27-31,5,16,3.20,0,,1,4,4.00,0
2,1987,4,1987-10-11,24-358,DET,@,GNB,W 19-16,3,6,2.00,0,,2,21,10.50,0
,,,2 Games,,,,,1-1-0,8,22,2.75,0,,3,25,8.33,0
