
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1994,15,1994-12-18,23-351,SEA,,RAI,L 16-17,0,0,,0,4,96,24.00,0,0,0,,0
2,1994,16,1994-12-24,23-357,SEA,@,CLE,L 9-35,1,6,6.00,0,3,40,13.33,0,1,31,31.00,0
,,,2 Games,,,,,0-2-0,1,6,6.00,0,7,136,19.43,0,1,31,31.00,0
