
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1987,3,1987-10-04,24-282,TAM,@,DET,W 31-27,6,10,1.67,1,,1,12,12.00,0,0,0,,0,1,6
2,1987,4,1987-10-11,24-289,TAM,,SDG,L 13-17,10,43,4.30,0,,0,0,,0,1,26,26.00,0,0,0
3,1987,5,1987-10-18,24-296,TAM,,MIN,W 20-10,8,23,2.88,0,,0,0,,0,0,0,,0,0,0
,,,3 Games,,,,,2-1-0,24,76,3.17,1,,1,12,12.00,0,1,26,26.00,0,1,6
