
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1984,3,1984-09-16,24-006,MIN,,ATL,W 27-20,0,0,,0
2,1984,5,1984-09-30,24-020,MIN,,SEA,L 12-20,0,0,,0
3,1984,6,1984-10-07,24-027,MIN,@,TAM,L 31-35,0,0,,0
4,1984,7,1984-10-14,24-034,MIN,@,RAI,L 20-23,0,0,,0
5,1984,8,1984-10-21,24-041,MIN,,DET,L 14-16,0,0,,0
6,1984,9,1984-10-28,24-048,MIN,@,CHI,L 7-16,0,0,,0
7,1984,10,1984-11-04,24-055,MIN,,TAM,W 27-24,0,0,,0
8,1984,11,1984-11-11,24-062,MIN,@,GNB,L 17-45,0,0,,0
9,1984,12,1984-11-18,24-069,MIN,@,DEN,L 21-42,1,14,14.00,0
10,1984,13,1984-11-25,24-076,MIN,,CHI,L 3-34,0,0,,0
11,1984,14,1984-11-29,24-080,MIN,,WAS,L 17-31,0,0,,0
12,1984,15,1984-12-08,24-089,MIN,@,SFO,L 7-51,0,0,,0
13,1984,16,1984-12-16,24-097,MIN,,GNB,L 14-38,1,7,7.00,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
14,1985,1,1985-09-08,24-363,MIN,,SFO,W 28-21,0,0,,0
15,1985,2,1985-09-15,25-005,MIN,@,TAM,W 31-16,2,31,15.50,0
16,1985,3,1985-09-19,25-009,MIN,,CHI,L 24-33,0,0,,0
17,1985,4,1985-09-29,25-019,MIN,@,BUF,W 27-20,0,0,,0
18,1985,5,1985-10-06,25-026,MIN,@,RAM,L 10-13,0,0,,0
19,1985,6,1985-10-13,25-033,MIN,@,GNB,L 17-20,0,3,,0
20,1985,7,1985-10-20,25-040,MIN,,SDG,W 21-17,0,0,,0
21,1985,8,1985-10-27,25-047,MIN,@,CHI,L 9-27,1,9,9.00,0
22,1985,9,1985-11-03,25-054,MIN,,DET,W 16-13,0,0,,0
23,1985,10,1985-11-10,25-061,MIN,,GNB,L 17-27,1,18,18.00,0
,,,23 Games,,,,,7-16-0,6,82,13.67,0
