
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1996,4,1996-09-22,23-234,CHI,@,DET,L 16-35,9,26,2.89,0,0,0,0,,0
2,1996,5,1996-09-29,23-241,CHI,,OAK,W 19-17,7,31,4.43,0,1,1,-1,-1.00,0
3,1996,6,1996-10-06,23-248,CHI,,GNB,L 6-37,4,7,1.75,0,0,0,0,,0
4,1996,7,1996-10-13,23-255,CHI,@,NOR,L 24-27,7,28,4.00,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
5,1997,11,1997-11-16,24-288,CHI,,NYJ,L 15-23,0,0,,0,,,,,
6,1997,15,1997-12-14,24-316,CHI,@,STL,W 13-10,2,5,2.50,0,0,0,0,,0
7,1997,16,1997-12-21,24-323,CHI,@,TAM,L 15-31,2,9,4.50,0,0,0,0,,0
,,,7 Games,,,,,2-5-0,31,106,3.42,0,1,1,-1,-1.00,0
