
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1974,1,1974-09-15,22-181,ATL,,DAL,L 0-24,0,0,,0,,1,12,12.00,0,0,0
2,1974,4,1974-10-06,22-202,ATL,@,NYG,W 14-7,1,5,5.00,0,,0,0,,0,0,0
3,1974,8,1974-11-03,22-230,ATL,@,MIA,L 7-42,0,0,,0,,1,9,9.00,0,0,0
4,1974,11,1974-11-24,22-251,ATL,@,SFO,L 0-27,1,17,17.00,0,,1,8,8.00,0,0,0
5,1974,12,1974-12-01,22-258,ATL,,RAM,L 7-30,1,3,3.00,0,,3,14,4.67,1,1,6
6,1974,13,1974-12-07,22-264,ATL,@,MIN,L 10-23,2,7,3.50,0,,3,18,6.00,0,0,0
7,1974,14,1974-12-15,22-272,ATL,,GNB,W 10-3,12,39,3.25,0,,3,25,8.33,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
8,1976,1,1976-09-12,24-178,TAM,@,HOU,L 0-20,1,3,3.00,0,,0,0,,0,0,0
,,,8 Games,,,,,2-6-0,18,74,4.11,0,,12,86,7.17,1,1,6
