
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Pnt,Yds,Y/P,Blck
1,1963,1,1963-09-07,21-338,KAN,@,DEN,W 59-7,5,40,8.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,166,55.33,0
2,1963,2,1963-09-22,21-353,KAN,@,BUF,T 27-27,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,125,31.25,0
3,1963,3,1963-09-29,21-360,KAN,@,SDG,L 10-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,251,50.20,0
4,1963,4,1963-10-06,22-002,KAN,,HOU,W 28-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,253,50.60,0
5,1963,5,1963-10-13,22-009,KAN,,BUF,L 26-35,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,204,51.00,0
6,1963,6,1963-10-20,22-016,KAN,,SDG,L 17-38,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,138,46.00,0
7,1963,7,1963-10-27,22-023,KAN,@,HOU,L 7-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,127,42.33,0
8,1963,8,1963-11-03,22-030,KAN,@,OAK,L 7-10,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,6,288,48.00,0
9,1963,9,1963-11-08,22-035,KAN,,OAK,L 7-22,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,9,264,29.33,1
10,1963,10,1963-11-17,22-044,KAN,@,BOS,T 24-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,4,180,45.00,0
11,1963,11,1963-12-01,22-058,KAN,@,NYJ,L 0-17,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,7,288,41.14,0
12,1963,12,1963-12-08,22-065,KAN,,DEN,W 52-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,34,34.00,0
13,1963,13,1963-12-14,22-071,KAN,,BOS,W 35-3,1,-5,-5.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,182,45.50,0
14,1963,14,1963-12-22,22-079,KAN,,NYJ,W 48-0,3,6,2.00,0,,2,21,10.50,0,0,0,,0,0,0,,,,0,0,,0,3,127,42.33,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Pnt,Yds,Y/P,Blck
15,1964,1,1964-09-13,22-345,KAN,@,BUF,L 17-34,0,0,,0,,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,7,308,44.00,0
16,1964,2,1964-09-27,22-359,KAN,@,OAK,W 21-9,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,8,333,41.63,0
17,1964,3,1964-10-04,23-000,KAN,,HOU,W 28-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,155,51.67,0
18,1964,4,1964-10-11,23-007,KAN,@,DEN,L 27-33,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,197,49.25,0
19,1964,5,1964-10-18,23-014,KAN,,BUF,L 22-35,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,254,50.80,0
20,1964,6,1964-10-23,23-019,KAN,@,BOS,L 7-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,9,398,44.22,0
21,1964,7,1964-11-01,23-028,KAN,,DEN,W 49-39,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,151,50.33,0
22,1964,8,1964-11-08,23-035,KAN,,OAK,W 42-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,131,32.75,0
23,1964,9,1964-11-15,23-042,KAN,,SDG,L 14-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,194,38.80,0
24,1964,10,1964-11-22,23-049,KAN,@,HOU,W 28-19,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,155,38.75,0
25,1964,11,1964-11-29,23-056,KAN,@,NYJ,L 14-27,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,6,242,40.33,0
26,1964,12,1964-12-06,23-063,KAN,,BOS,L 24-31,1,-10,-10.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,9,360,40.00,0
27,1964,13,1964-12-13,23-070,KAN,@,SDG,W 49-6,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,142,35.50,0
28,1964,14,1964-12-20,23-077,KAN,,NYJ,W 24-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,7,308,44.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Pnt,Yds,Y/P,Blck
