
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,3,1987-10-04,25-265,MIA,@,SEA,L 20-24,0,0,,0,1,26,26.00,0
2,1987,4,1987-10-11,25-272,MIA,,KAN,W 42-0,3,10,3.33,0,1,23,23.00,0
3,1987,5,1987-10-18,25-279,MIA,@,NYJ,L 31-37,0,0,,0,0,0,,0
,,,3 Games,,,,,1-2-0,3,10,3.33,0,2,49,24.50,0
