
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1987,1,1987-09-13,25-190,DEN,,SEA,W 40-17,,0,0,,0,0,0,,0,,
2,1987,2,1987-09-20,25-197,DEN,@,GNB,T 17-17,,0,0,,0,0,0,,0,,
3,1987,3,1987-10-04,25-211,DEN,,HOU,L 10-40,,9,69,7.67,0,4,8,2.00,0,0,0
4,1987,4,1987-10-12,25-219,DEN,,RAI,W 30-14,,6,62,10.33,0,0,0,,0,0,0
5,1987,5,1987-10-18,25-225,DEN,@,KAN,W 26-17,,9,105,11.67,2,0,0,,0,2,12
6,1987,6,1987-10-26,25-233,DEN,@,MIN,L 27-34,,0,0,,0,0,0,,0,,
7,1987,7,1987-11-01,25-239,DEN,,DET,W 34-0,,0,0,,0,0,0,,0,,
8,1987,8,1987-11-08,25-246,DEN,@,BUF,L 14-21,,0,0,,0,0,0,,0,,
9,1987,9,1987-11-16,25-254,DEN,,CHI,W 31-29,,0,0,,0,0,0,,0,,
10,1987,10,1987-11-22,25-260,DEN,@,RAI,W 23-17,,0,0,,0,0,0,,0,,
11,1987,11,1987-11-29,25-267,DEN,@,SDG,W 31-17,,0,0,,0,0,0,,0,,
12,1987,12,1987-12-06,25-274,DEN,,NWE,W 31-20,,0,0,,0,0,0,,0,,
13,1987,13,1987-12-13,25-281,DEN,@,SEA,L 21-28,,1,6,6.00,0,0,0,,0,0,0
14,1987,14,1987-12-19,25-287,DEN,,KAN,W 20-17,,0,0,,0,0,0,,0,,
15,1987,15,1987-12-27,25-295,DEN,,SDG,W 24-0,,0,0,,0,0,0,,0,,
,,,15 Games,,,,,10-4-1,,25,242,9.68,2,4,8,2.00,0,2,12
