
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1987,3,1987-10-04,23-083,ATL,,PIT,L 12-28,1,0,0.00,0,,1,2,2.00,0,4,72,18.00,0
2,1987,5,1987-10-18,23-097,ATL,,RAM,W 24-20,0,0,,0,,0,0,,0,1,18,18.00,0
,,,2 Games,,,,,1-1-0,1,0,0.00,0,,1,2,2.00,0,5,90,18.00,0
