
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1993,1,1993-09-05,22-264,RAM,@,GNB,L 6-36,0,0,,0,4,40,10.00,0
2,1993,2,1993-09-12,22-271,RAM,,PIT,W 27-0,0,0,,0,0,0,,0
3,1993,3,1993-09-19,22-278,RAM,@,NYG,L 10-20,0,0,,0,1,17,17.00,0
4,1993,4,1993-09-26,22-285,RAM,@,HOU,W 28-13,0,0,,0,1,35,35.00,0
5,1993,5,1993-10-03,22-292,RAM,,NOR,L 6-37,2,10,5.00,0,2,30,15.00,0
,,,5 Games,,,,,2-3-0,2,10,5.00,0,8,122,15.25,0
