
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1976,1,1976-09-12,22-227,NOR,,MIN,L 9-40,5,15,3.00,1,,1,13,13.00,0,0,0,,0,0,0,,,,3,55,18.33,0,0,0,,0,,,,,,,1,6
2,1976,2,1976-09-19,22-234,NOR,,DAL,L 6-24,3,13,4.33,0,,3,10,3.33,0,0,0,,0,0,0,,,,4,78,19.50,0,0,0,,0,,,,,,,0,0
3,1976,3,1976-09-26,22-241,NOR,@,KAN,W 27-17,14,146,10.43,2,,5,22,4.40,0,0,0,,0,0,0,,,,4,94,23.50,0,0,0,,0,,,,,,,2,12
4,1976,4,1976-10-03,22-248,NOR,,HOU,L 26-31,9,23,2.56,0,,7,67,9.57,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0,,0,,,,,,,0,0
5,1976,5,1976-10-10,22-255,NOR,,ATL,W 30-0,6,17,2.83,0,,0,0,,0,0,0,,0,0,0,,,,1,25,25.00,0,0,0,,0,,,,,,,0,0
6,1976,6,1976-10-17,22-262,NOR,@,SFO,L 3-33,4,21,5.25,0,,2,8,4.00,0,0,0,,0,0,0,,,,1,17,17.00,0,0,0,,0,,,,,,,0,0
7,1976,7,1976-10-24,22-269,NOR,,RAM,L 10-16,9,40,4.44,0,,7,91,13.00,1,0,0,,0,0,0,,,,2,52,26.00,0,0,0,,0,,,,,,,1,6
8,1976,8,1976-10-31,22-276,NOR,@,ATL,L 20-23,16,61,3.81,1,,3,7,2.33,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,1,6
9,1976,9,1976-11-07,22-283,NOR,@,GNB,L 27-32,13,48,3.69,1,,2,22,11.00,0,0,0,,0,0,0,,,,1,20,20.00,0,2,8,4.00,0,,,,,,,1,6
