
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,TD,Pts
1,1999,5,1999-10-10,23-124,NYG,@,ARI,L 3-14,,,,,,
2,1999,7,1999-10-24,23-138,NYG,,NOR,W 31-3,14,28,2.00,1,1,6
3,1999,12,1999-12-05,23-180,NYG,,NYJ,W 41-28,38,111,2.92,1,1,6
4,1999,13,1999-12-12,23-187,NYG,@,BUF,W 19-17,20,77,3.85,0,0,0
5,1999,14,1999-12-19,23-194,NYG,@,STL,L 10-31,12,41,3.42,0,0,0
6,1999,15,1999-12-26,23-201,NYG,,MIN,L 17-34,19,55,2.89,0,0,0
7,1999,16,2000-01-02,23-208,NYG,@,DAL,L 18-26,12,36,3.00,1,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,TD,Pts
8,2000,5,2000-10-01,24-115,NYG,@,TEN,L 14-28,,,,,,
9,2000,8,2000-10-29,24-143,NYG,,PHI,W 24-7,1,4,4.00,1,1,6
10,2000,9,2000-11-05,24-150,NYG,@,CLE,W 24-3,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,TD,Pts
11,2002,13,2002-12-08,26-183,CAR,,CIN,W 52-31,,,,,,
12,2002,14,2002-12-15,26-190,CAR,@,PIT,L 14-30,,,,,,
13,2002,15,2002-12-22,26-197,CAR,,CHI,W 24-14,7,20,2.86,0,0,0
,,,13 Games,,,,,7-6-0,123,372,3.02,4,4,24
