
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1960,1,1960-09-25,24-352,GNB,,CHI,L 14-17,1,2,2.00,0,1,10,10.00,0
2,1960,2,1960-10-02,24-359,GNB,,DET,W 28-9,1,4,4.00,0,1,27,27.00,0
3,1960,4,1960-10-23,25-014,GNB,,SFO,W 41-14,1,4,4.00,0,0,0,,0
4,1960,7,1960-11-13,25-035,GNB,,DAL,W 41-7,3,8,2.67,0,0,0,,0
5,1960,10,1960-12-04,25-056,GNB,@,CHI,W 41-13,1,4,4.00,0,0,0,,0
6,1960,11,1960-12-10,25-062,GNB,@,SFO,W 13-0,0,0,,0,1,17,17.00,0
,,,6 Games,,,,,5-1-0,7,22,3.14,0,3,54,18.00,0
