
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
1,1969,1,1969-09-21,22-215,PHI,,CLE,L 20-27,3,10,3.33,0,,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,0
2,1969,2,1969-09-28,22-222,PHI,,PIT,W 41-27,10,28,2.80,0,,2,25,12.50,0,0,0,,0,0,0,,,,4,94,23.50,0,0,0,0,0,0
3,1969,3,1969-10-05,22-229,PHI,,DAL,L 7-38,6,6,1.00,0,,2,4,2.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,4,83,20.75,0,0,0,0,0,0
4,1969,5,1969-10-19,22-243,PHI,@,DAL,L 14-49,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0,0,0,0
5,1969,6,1969-10-26,22-250,PHI,,NOR,W 13-10,12,30,2.50,0,,5,47,9.40,0,1,1,100.00,14,0,0,118.7,14.00,14.00,0,0,,0,0,0,0,0,0
6,1969,7,1969-11-02,22-257,PHI,@,NYG,W 23-20,11,43,3.91,0,,3,18,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,0
7,1969,8,1969-11-09,22-264,PHI,@,WAS,T 28-28,20,87,4.35,1,,4,42,10.50,0,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,0
8,1969,9,1969-11-16,22-271,PHI,,RAM,L 17-23,8,23,2.88,0,,1,-3,-3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,0
9,1969,10,1969-11-23,22-278,PHI,@,STL,W 34-30,12,18,1.50,1,,3,42,14.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,0
10,1969,11,1969-11-30,22-285,PHI,@,NOR,L 17-26,5,20,4.00,0,,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,0
11,1969,12,1969-12-07,22-292,PHI,,WAS,L 29-34,11,17,1.55,1,,3,33,11.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,0
12,1969,13,1969-12-14,22-299,PHI,,ATL,L 3-27,13,55,4.23,0,,3,17,5.67,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,0
13,1969,14,1969-12-21,22-306,PHI,@,SFO,L 13-14,10,24,2.40,0,,1,35,35.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
14,1970,12,1970-12-06,23-291,PHI,@,BAL,L 10-29,2,7,3.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,0
