
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1970,3,1970-10-04,22-299,SDG,@,RAM,L 10-37,2,5,2.50,0,,0,0,,0
2,1970,4,1970-10-12,22-307,SDG,,GNB,L 20-22,1,2,2.00,0,,1,42,42.00,0
3,1970,5,1970-10-18,22-313,SDG,@,CHI,W 20-7,6,20,3.33,0,,2,13,6.50,0
4,1970,6,1970-10-25,22-320,SDG,,HOU,T 31-31,1,2,2.00,0,,0,0,,0
5,1970,13,1970-12-13,23-004,SDG,@,DEN,T 17-17,3,10,3.33,0,,1,10,10.00,0
6,1970,14,1970-12-20,23-011,SDG,,KAN,W 31-13,1,3,3.00,0,,0,0,,0
,,,6 Games,,,,,2-2-2,14,42,3.00,0,,4,65,16.25,0
