
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2006,1,2006-09-10,21-340,DAL,@,JAX,L 17-24,,,,,
2,2006,3,2006-10-01,21-361,DAL,@,TEN,W 45-14,0,,,,
3,2006,6,2006-10-23,22-018,DAL,,NYG,L 22-36,,,,,
4,2006,7,2006-10-29,22-024,DAL,@,CAR,W 35-14,0,,,,
5,2006,8,2006-11-05,22-031,DAL,@,WAS,L 19-22,1,1,4,4.00,0
6,2006,9,2006-11-12,22-038,DAL,@,ARI,W 27-10,,,,,
7,2006,10,2006-11-19,22-045,DAL,,IND,W 21-14,,,,,
8,2006,11,2006-11-23,22-049,DAL,,TAM,W 38-10,,,,,
9,2006,12,2006-12-03,22-059,DAL,@,NYG,W 23-20,1,1,6,6.00,0
10,2006,13,2006-12-10,22-066,DAL,,NOR,L 17-42,,,,,
11,2006,15,2006-12-25,22-081,DAL,,PHI,L 7-23,,,,,
12,2006,16,2006-12-31,22-087,DAL,,DET,L 31-39,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
13,2007,1,2007-09-09,22-339,DAL,,NYG,W 45-35,1,,,,
14,2007,2,2007-09-16,22-346,DAL,@,MIA,W 37-20,1,,,,
15,2007,9,2007-11-11,23-037,DAL,@,NYG,W 31-20,0,,,,
16,2007,10,2007-11-18,23-044,DAL,,WAS,W 28-23,2,1,2,2.00,0
17,2007,11,2007-11-22,23-048,DAL,,NYJ,W 34-3,,,,,
18,2007,12,2007-11-29,23-055,DAL,,GNB,W 37-27,,,,,
19,2007,13,2007-12-09,23-065,DAL,@,DET,W 28-27,,,,,
20,2007,14,2007-12-16,23-072,DAL,,PHI,L 6-10,,,,,
21,2007,15,2007-12-22,23-078,DAL,@,CAR,W 20-13,0,,,,
22,2007,16,2007-12-30,23-086,DAL,@,WAS,L 6-27,,,,,
,,,22 Games,,,,,14-8-0,6,3,12,4.00,0
