
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1960,1,1960-09-09,25-363,BOS,,DEN,L 10-13,7,12,1.71,0,,0,0,,0,1,3,3.00,0,0,0
2,1960,2,1960-09-17,26-005,BOS,@,NYT,W 28-24,3,4,1.33,1,,1,0,0.00,0,0,0,,0,1,6
,,,2 Games,,,,,1-1-0,10,16,1.60,1,,1,0,0.00,0,1,3,3.00,0,1,6
