
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2000,10,2000-11-12,25-351,TAM,,GNB,W 20-15
2,2000,11,2000-11-19,25-358,TAM,@,CHI,L 10-13
3,2000,12,2000-11-26,25-365,TAM,,BUF,W 31-17
4,2000,13,2000-12-03,26-006,TAM,,DAL,W 27-7
5,2000,14,2000-12-10,26-013,TAM,@,MIA,W 16-13
6,2000,15,2000-12-18,26-021,TAM,,STL,W 38-35
,,,6 Games,,,,,5-1-0
