
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1966,3,1966-09-25,23-332,DEN,,NYJ,L 7-16,1,1,1.00,0,,0,0,,0
2,1966,9,1966-11-06,24-009,DEN,@,BOS,W 17-10,4,11,2.75,0,,1,5,5.00,0
3,1966,11,1966-11-27,24-030,DEN,,SDG,W 20-17,1,-9,-9.00,0,,0,0,,0
,,,3 Games,,,,,2-1-0,6,3,0.50,0,,1,5,5.00,0
