
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2003,13,2003-12-07,23-135,DAL,@,PHI,L 10-36,9,41,4.56,0,2,24,12.00,0,0,0
2,2003,14,2003-12-14,23-142,DAL,@,WAS,W 27-0,1,2,2.00,1,0,0,,0,1,6
3,2003,15,2003-12-21,23-149,DAL,,NYG,W 19-3,7,8,1.14,0,0,0,,0,0,0
4,2003,16,2003-12-28,23-156,DAL,@,NOR,L 7-13,2,5,2.50,0,0,0,,0,0,0
,,,4 Games,,,,,2-2-0,19,56,2.95,1,2,24,12.00,0,1,6
